"","Administrative","Administrative_Duration","Informational","Informational_Duration","ProductRelated","ProductRelated_Duration","BounceRates","ExitRates","PageValues","SpecialDay","MonthDec","MonthFeb","MonthJul","MonthJune","MonthMar","MonthMay","MonthNov","MonthOct","MonthSep","OperatingSystems2","OperatingSystems3","OperatingSystems4","OperatingSystems5","OperatingSystems6","OperatingSystems7","OperatingSystems8","Browser2","Browser3","Browser4","Browser5","Browser6","Browser7","Browser8","Browser9","Browser10","Browser11","Browser12","Browser13","Region2","Region3","Region4","Region5","Region6","Region7","Region8","Region9","TrafficType2","TrafficType3","TrafficType4","TrafficType5","TrafficType6","TrafficType7","TrafficType8","TrafficType9","TrafficType10","TrafficType11","TrafficType12","TrafficType13","TrafficType14","TrafficType15","TrafficType16","TrafficType17","TrafficType18","TrafficType19","TrafficType20","VisitorTypeOther","VisitorTypeReturning_Visitor","WeekendTRUE","Revenue"
"1",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.69097515892313,-0.624322200048151,3.66704008110918,3.22918463851094,-0.317164982011336,-0.308808842192106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"2",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.668490871490928,-0.590878594924944,-0.457664436385104,1.17142499419754,-0.317164982011336,-0.308808842192106,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"3",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.69097515892313,-0.624322200048151,3.66704008110918,3.22918463851094,-0.317164982011336,-0.308808842192106,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"4",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.668490871490928,-0.622928716501176,0.573511692988468,1.9945288519229,-0.317164982011336,-0.308808842192106,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"5",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.48861657203332,-0.296418102941707,-0.0451939846356751,0.142545172040847,-0.317164982011336,-0.308808842192106,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"6",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.286257985143511,-0.543735304664838,-0.132029862701811,-0.380919990527074,-0.317164982011336,-0.308808842192106,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"7",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.69097515892313,-0.624322200048151,3.66704008110918,3.22918463851094,-0.317164982011336,1.70207736019958,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"8",-0.395921655087098,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.713459446355331,-0.624322200048151,3.66704008110918,3.22918463851094,-0.317164982011336,-0.308808842192106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"9",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.668490871490928,-0.604987615836296,-0.457664436385104,1.17142499419754,-0.317164982011336,3.71296356259128,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"10",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.646006584058727,-0.23867562847117,-0.457664436385104,-0.429054733730117,-0.317164982011336,1.70207736019958,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"11",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.646006584058727,-0.417912449678357,-0.457664436385104,0.485505119618945,-0.317164982011336,-0.308808842192106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"12",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.353710847440114,-0.411249856470218,-0.0709733878700144,-0.354746748860755,-0.317164982011336,1.70207736019958,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"13",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.556069434329923,-0.477745149469095,-0.457664436385104,-0.298403314350196,-0.317164982011336,-0.308808842192106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"14",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.578553721762124,-0.57311167970324,-0.457664436385104,0.485505119618945,-0.317164982011336,-0.308808842192106,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"15",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.668490871490928,-0.588788369604743,-0.457664436385104,1.17142499419754,-0.317164982011336,-0.308808842192106,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"16",-0.0948786107343651,-0.15736367796732,-0.396461822917448,-0.244920573628725,-0.196320835414707,0.247450749213699,-0.285801755030683,-0.550659809584111,-0.317164982011336,-0.308808842192106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
