"","Administrative","Administrative_Duration","Informational","Informational_Duration","ProductRelated","ProductRelated_Duration","BounceRates","ExitRates","PageValues","SpecialDay","MonthDec","MonthFeb","MonthJul","MonthJune","MonthMar","MonthMay","MonthNov","MonthOct","MonthSep","OperatingSystems","Browser","Region","TrafficType","VisitorTypeOther","VisitorTypeReturning_Visitor","WeekendTRUE","Revenue"
"1",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.69097515892313,-0.624322200048151,3.66704008110918,3.22918463851094,-0.317164982011336,-0.308808842192106,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0
"2",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.668490871490928,-0.590878594924944,-0.457664436385104,1.17142499419754,-0.317164982011336,-0.308808842192106,0,1,0,0,0,0,0,0,0,2,2,1,2,0,1,0,0
"3",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.69097515892313,-0.624322200048151,3.66704008110918,3.22918463851094,-0.317164982011336,-0.308808842192106,0,1,0,0,0,0,0,0,0,4,1,9,3,0,1,0,0
"4",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.668490871490928,-0.622928716501176,0.573511692988468,1.9945288519229,-0.317164982011336,-0.308808842192106,0,1,0,0,0,0,0,0,0,3,2,2,4,0,1,0,0
"5",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.48861657203332,-0.296418102941707,-0.0451939846356751,0.142545172040847,-0.317164982011336,-0.308808842192106,0,1,0,0,0,0,0,0,0,3,3,1,4,0,1,1,0
"6",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.286257985143511,-0.543735304664838,-0.132029862701811,-0.380919990527074,-0.317164982011336,-0.308808842192106,0,1,0,0,0,0,0,0,0,2,2,1,3,0,1,0,0
"7",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.69097515892313,-0.624322200048151,3.66704008110918,3.22918463851094,-0.317164982011336,1.70207736019958,0,1,0,0,0,0,0,0,0,2,4,3,3,0,1,0,0
"8",-0.395921655087098,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.713459446355331,-0.624322200048151,3.66704008110918,3.22918463851094,-0.317164982011336,-0.308808842192106,0,1,0,0,0,0,0,0,0,1,2,1,5,0,1,1,0
"9",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.668490871490928,-0.604987615836296,-0.457664436385104,1.17142499419754,-0.317164982011336,3.71296356259128,0,1,0,0,0,0,0,0,0,2,2,2,3,0,1,0,0
"10",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.646006584058727,-0.23867562847117,-0.457664436385104,-0.429054733730117,-0.317164982011336,1.70207736019958,0,1,0,0,0,0,0,0,0,2,4,1,2,0,1,0,0
"11",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.646006584058727,-0.417912449678357,-0.457664436385104,0.485505119618945,-0.317164982011336,-0.308808842192106,0,1,0,0,0,0,0,0,0,1,1,3,3,0,1,0,0
"12",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.353710847440114,-0.411249856470218,-0.0709733878700144,-0.354746748860755,-0.317164982011336,1.70207736019958,0,1,0,0,0,0,0,0,0,1,1,4,3,0,1,0,0
"13",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.556069434329923,-0.477745149469095,-0.457664436385104,-0.298403314350196,-0.317164982011336,-0.308808842192106,0,1,0,0,0,0,0,0,0,1,1,1,3,0,1,0,0
"14",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.578553721762124,-0.57311167970324,-0.457664436385104,0.485505119618945,-0.317164982011336,-0.308808842192106,0,1,0,0,0,0,0,0,0,2,5,1,3,0,1,0,0
"15",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.668490871490928,-0.588788369604743,-0.457664436385104,1.17142499419754,-0.317164982011336,-0.308808842192106,0,1,0,0,0,0,0,0,0,3,2,3,3,0,1,0,0
"16",-0.0948786107343651,-0.15736367796732,-0.396461822917448,-0.244920573628725,-0.196320835414707,0.247450749213699,-0.285801755030683,-0.550659809584111,-0.317164982011336,-0.308808842192106,0,1,0,0,0,0,0,0,0,1,1,9,3,0,1,0,0
"17",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.69097515892313,-0.624322200048151,3.66704008110918,3.22918463851094,-0.317164982011336,-0.308808842192106,0,1,0,0,0,0,0,0,0,1,1,4,3,0,1,0,0
"18",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.421163709736717,-0.44928324800828,-0.457664436385104,-0.728045440375559,-0.317164982011336,-0.308808842192106,0,1,0,0,0,0,0,0,0,1,1,1,4,0,1,1,0
"19",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.668490871490928,-0.607600397486547,-0.457664436385104,1.17142499419754,-0.317164982011336,-0.308808842192106,0,1,0,0,0,0,0,0,0,2,2,1,3,0,1,0,0
"20",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.26377369771131,0.933505312727085,-0.457664436385104,-0.680558685684511,-0.317164982011336,-0.308808842192106,0,1,0,0,0,0,0,0,0,2,4,4,4,0,1,0,0
"21",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.533585146897722,-0.553167446422242,-0.457664436385104,-0.714854686615599,-0.317164982011336,4.71840666378712,0,1,0,0,0,0,0,0,0,2,2,5,1,0,1,1,0
"22",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.668490871490928,-0.624322200048151,3.66704008110918,3.22918463851094,-0.317164982011336,-0.308808842192106,0,1,0,0,0,0,0,0,0,3,3,1,3,0,1,0,0
"23",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.646006584058727,-0.569453785392889,-0.457664436385104,-0.200414775537251,-0.317164982011336,-0.308808842192106,0,1,0,0,0,0,0,0,0,3,2,1,5,0,1,0,0
"24",-0.696964699439832,-0.457172862199391,-0.396461822917448,-0.244920573628725,-0.668490871490928,-0.616483855097399,-0.457664436385104,1.17142499419754,-0.317164982011336,3.71296356259128,0,1,0,0,0,0,0,0,0,2,4,1,3,0,1,0,0
